class,rank,gene,coef,class_direction_score,abs_coef
HNSC,11,ABCC1,0.061800977975469996,0.061800977975469996,0.061800977975469996
HNSC,12,TUBB6,0.06049483235434749,0.06049483235434749,0.06049483235434749
HNSC,13,IFI16,0.05908421177017383,0.05908421177017383,0.05908421177017383
HNSC,14,MAGEA4,0.05717106396802844,0.05717106396802844,0.05717106396802844
HNSC,15,FAT2,0.056889663998907214,0.056889663998907214,0.056889663998907214
KIRC,1,CDH16,0.09053229439278529,0.09053229439278529,0.09053229439278529
KIRC,2,DCBLD2,0.0698389562549781,0.0698389562549781,0.0698389562549781
KIRC,3,KLK1,0.06753588247979778,0.06753588247979778,0.06753588247979778
KIRC,4,FXYD2,0.06038968048602834,0.06038968048602834,0.06038968048602834
KIRC,5,SERPINE1,0.05548068943739029,0.05548068943739029,0.05548068943739029
KIRC,6,KIAA1191,0.05446314223530288,0.05446314223530288,0.05446314223530288
KIRC,7,TFPI2,0.05422316281812303,0.05422316281812303,0.05422316281812303
KIRC,8,GABARAPL1,0.04778521195264879,0.04778521195264879,0.04778521195264879
KIRC,9,SLC2A3,0.04590151610896711,0.04590151610896711,0.04590151610896711
KIRC,10,CRYAB,0.04577298959102189,0.04577298959102189,0.04577298959102189
KIRC,11,GLS,0.04521885716157819,0.04521885716157819,0.04521885716157819
KIRC,12,ATP6V0D2,0.044769022545714215,0.044769022545714215,0.044769022545714215
KIRC,13,IGFBP7,0.04459002301299016,0.04459002301299016,0.04459002301299016
KIRC,14,PXN,0.043929095634974435,0.043929095634974435,0.043929095634974435
KIRC,15,TIMP1,0.04382718600254945,0.04382718600254945,0.04382718600254945
LIHC,1,TM4SF4,0.07413807292267244,0.07413807292267244,0.07413807292267244
LIHC,2,C11orf9,0.06287826157257435,0.06287826157257435,0.06287826157257435
LIHC,3,ITIH5,0.05428693017572178,0.05428693017572178,0.05428693017572178
LIHC,4,REG3G,0.052595962180588936,0.052595962180588936,0.052595962180588936
LIHC,5,CRP,0.05245870659130428,0.05245870659130428,0.05245870659130428
LIHC,6,UBD,0.05183363157800504,0.05183363157800504,0.05183363157800504
LIHC,7,CDC42EP1,0.05125514717100881,0.05125514717100881,0.05125514717100881
LIHC,8,ABCC3,0.04790513527359682,0.04790513527359682,0.04790513527359682
LIHC,9,FGFR4,0.04372359927748333,0.04372359927748333,0.04372359927748333
LIHC,10,AGT,0.04260897366419948,0.04260897366419948,0.04260897366419948
LIHC,11,TGFB1,0.041958809798320916,0.041958809798320916,0.041958809798320916
LIHC,12,CCL21,0.04088729163867266,0.04088729163867266,0.04088729163867266
LIHC,13,LPGAT1,0.040793254467475074,0.040793254467475074,0.040793254467475074
LIHC,14,SPATS2L,0.040751839828222426,0.040751839828222426,0.040751839828222426
LIHC,15,C1QC,0.04066440344964355,0.04066440344964355,0.04066440344964355
LUAD,1,HMGB3,0.10756808375655642,0.10756808375655642,0.10756808375655642
LUAD,2,CXCL17,0.09872479287223657,0.09872479287223657,0.09872479287223657
LUAD,3,XAGE1D,0.08962072797085711,0.08962072797085711,0.08962072797085711
LUAD,4,LPCAT1,0.08690046668844076,0.08690046668844076,0.08690046668844076
LUAD,5,SCGB1A1,0.08091735886409095,0.08091735886409095,0.08091735886409095
LUAD,6,WSB1,0.08035988129255205,0.08035988129255205,0.08035988129255205
LUAD,7,CTSE,0.0787127205952073,0.0787127205952073,0.0787127205952073
LUAD,8,AGER,0.07546267599320347,0.07546267599320347,0.07546267599320347
LUAD,9,C5orf13,0.07385104304033463,0.07385104304033463,0.07385104304033463
LUAD,10,C14orf147,0.07233662701475038,0.07233662701475038,0.07233662701475038
LUAD,11,LDHB,0.07192138159794915,0.07192138159794915,0.07192138159794915
LUAD,12,TXNRD1,0.07159986411326939,0.07159986411326939,0.07159986411326939
LUAD,13,TFF2,0.07005790957204285,0.07005790957204285,0.07005790957204285
LUAD,14,GCLC,0.06777355386836242,0.06777355386836242,0.06777355386836242
LUAD,15,ABCA3,0.0672021552869658,0.0672021552869658,0.0672021552869658
PRAD,1,NKX3-1,0.04989727230778232,0.04989727230778232,0.04989727230778232
PRAD,2,HOXB13,0.04817781407672932,0.04817781407672932,0.04817781407672932
PRAD,3,LTF,0.044393475695946066,0.044393475695946066,0.044393475695946066
PRAD,4,ANKH,0.04181704926590385,0.04181704926590385,0.04181704926590385
PRAD,5,ATP2C1,0.03968848001492663,0.03968848001492663,0.03968848001492663
PRAD,6,PSCA,0.03877791817100722,0.03877791817100722,0.03877791817100722
PRAD,7,TRPV6,0.03868610860321687,0.03868610860321687,0.03868610860321687
PRAD,8,STEAP2,0.03777462808455587,0.03777462808455587,0.03777462808455587
PRAD,9,FOS,0.037769027413138846,0.037769027413138846,0.037769027413138846
PRAD,10,RGS2,0.03695036460988676,0.03695036460988676,0.03695036460988676
PRAD,11,C19orf48,0.0367482832619616,0.0367482832619616,0.0367482832619616
PRAD,12,PPP3CA,0.036255123734264066,0.036255123734264066,0.036255123734264066
PRAD,13,JUN,0.035112996414925476,0.035112996414925476,0.035112996414925476
PRAD,14,SLC44A4,0.03504642574193967,0.03504642574193967,0.03504642574193967
PRAD,15,KLK2,0.03472992009795562,0.03472992009795562,0.03472992009795562
STAD,1,RPL7,0.15824051246777188,0.15824051246777188,0.15824051246777188
STAD,2,GREM1,0.14720375746066156,0.14720375746066156,0.14720375746066156
STAD,3,PRSS3,0.1404617977087099,0.1404617977087099,0.1404617977087099
STAD,4,MALAT1,0.12003769152862916,0.12003769152862916,0.12003769152862916
STAD,5,NOTUM,0.10559588449029035,0.10559588449029035,0.10559588449029035
STAD,6,KCNE3,0.10305170266673387,0.10305170266673387,0.10305170266673387
STAD,7,CCL25,0.09681654679969974,0.09681654679969974,0.09681654679969974
STAD,8,RGS1,0.08956911453619992,0.08956911453619992,0.08956911453619992
STAD,9,ANPEP,0.08319931173240679,0.08319931173240679,0.08319931173240679
STAD,10,CSNK2B,0.08290225711140878,0.08290225711140878,0.08290225711140878
