gene,max_abs_coef
ARPC2,0.42455406365973297
TAGLN2,0.42296048716693174
SYNPO2,0.42175792555213787
KIAA1324,0.421480835986207
TSPAN13,0.42019893105597
HSPA8,0.4193081952953028
LDHB,0.41878338210445276
CAPRIN1,0.4187566839684418
PSME1,0.41740089690402776
ATN1,0.41525130355249895
IFI30,0.414295290087387
COL12A1,0.41364471509757705
EMP2,0.4132747604984926
RARRES2,0.4130337136837986
YWHAE,0.41277382281539526
ATP1B3,0.41274083202496836
LCP1,0.4125433811927693
PMEPA1,0.41232985133301125
MYH9,0.4121431708044061
RPS4X,0.4120586158289019
PLTP,0.41091449707898753
MYC,0.4106352113361762
SCRN1,0.4089393758071846
PSMD4,0.40880088890781846
VWF,0.40518060978661263
BAT2L1,0.4043084072624435
CXCL17,0.40375211401467176
MYADM,0.40239040577672985
RPL11,0.4023294568460814
GPX4,0.4016093678247203
STMN2,0.3998452582220793
CLCA2,0.39914714213550073
AEBP1,0.3983480515275973
IMPDH2,0.3982502908317218
SNX1,0.39779527621664224
FN1,0.3976915113371175
IGFBP4,0.3970745457971846
SFRP4,0.3968422354968801
ASRGL1,0.3958407932298594
HMGB3,0.39570182939190374
RTN4,0.39550534857786435
GM2A,0.3954436132980849
LAMA3,0.39314914484557995
RCN1,0.3893298338146854
RPS3,0.3892306561904389
TMSL3,0.3885196906601106
IRAK1,0.38850448384703035
CEACAM5,0.38778770036072774
LYPD3,0.38641566378069486
CTSE,0.386145011321463
PAX8,0.38577652900674003
GRN,0.3855101224389678
FXYD2,0.38426896115508474
MLF2,0.3840112212193197
PIGR,0.38400634857596594
PVRL1,0.3835048869568634
S100A10,0.3834816046241978
NDUFB9,0.382867270666324
AIF1L,0.37799499467578046
TGOLN2,0.37668906887616493
TPP1,0.37509338755289673
TSPO,0.37501479456061027
ABCA3,0.374991312800478
RPL22,0.3747868581966272
HSP90AA1,0.3737852481767573
TUBB2C,0.37366632264679683
KLF5,0.37210289737589036
DSC3,0.3708586352562361
GPX1,0.3705023927075986
TFF1,0.37028099188755387
LTBP1,0.3697316370430166
ATP2A3,0.36929855145565355
LAMC1,0.3690902484175323
HN1,0.3659482571917193
HNRNPA1,0.36563964659366566
KIF1B,0.36403778195771086
RCC2,0.3636407201462322
AZGP1,0.36235820725962475
NET1,0.3623382150629015
PPL,0.3617222512651594
SEPT2,0.36112630129602175
COL14A1,0.36065265616444686
RPL35A,0.36022835319367846
PFKP,0.3597040114169696
HERPUD1,0.35968382685151723
PDLIM1,0.357069043782881
KIF1A,0.3567571313779471
SERPINF1,0.3552985285115005
C16orf89,0.35315594634813996
GPM6A,0.35302586322589535
ITM2C,0.3522697154952501
PPP1CA,0.35188002555194803
AGT,0.3517349768153103
GPT2,0.35088196995779425
ANPEP,0.35022816743762936
EIF4G2,0.3499459108239241
C4A,0.3493436355357973
HSPB6,0.3492586669568205
NAP1L1,0.34879314061750727
CHIT1,0.34542026752804805
CDC42,0.34536336659782135
LAPTM4B,0.3453394417991343
ITGB2,0.34489190798205166
CXCL12,0.3442785499151778
FTL,0.34407647168549677
PTPRZ1,0.3433082136023034
GJA1,0.3423282847989634
HAND2,0.34184772534037333
RPL34,0.34146131768929544
GPX3,0.3411188929009191
ATP6V0C,0.34008295041818526
ILF2,0.3396714834915208
BHLHE41,0.33918384952493874
ZNF395,0.3389473860201437
DDIT4,0.3389127487691757
CEBPA,0.33737463848200244
ENAH,0.3368036493057536
CELSR2,0.33661865695361975
ETS1,0.33552975853946104
CRIM1,0.3351480326782529
C3,0.3350700929279626
PTPRF,0.3329595387541024
LMO7,0.33250682747488086
STAT3,0.332293170647455
TUBA1B,0.3321782854205227
MEG3,0.3298565133176835
COL16A1,0.32918532603081446
NAMPT,0.3291352111122811
RPL7A,0.3285303668726651
CDK4,0.32810721286392464
ANXA5,0.3275928116389798
C5,0.32655659220211813
CD46,0.32631686625748085
AZIN1,0.32620450052374883
COL1A1,0.32606360670858564
CHD3,0.32508961887899035
TMPRSS4,0.3245128359025276
COL11A1,0.32361801332458034
IGF2,0.32311062075798475
ARL6IP1,0.32294168359466563
PROM1,0.322872599445382
CHD4,0.32243097350762756
EMP1,0.3217984644991009
LDHA,0.3217542785943111
MFAP4,0.3215538125581257
EIF3B,0.3215140839298122
RPL10A,0.32090785016150186
FKBP5,0.32089768914368977
CALU,0.32052535282459976
KRT15,0.31994378093546394
CDKN1A,0.31960139464614107
CILP,0.31959905163690655
DHRS2,0.319100419709594
PLXNB2,0.31884415587963444
TG,0.31620326617146843
TIMP3,0.31421811509708286
MYO1D,0.31339634957709156
COL7A1,0.31322570876687666
ALDH4A1,0.3127729696759058
CALR,0.3126493542880419
TTYH3,0.31212760686428437
MMP7,0.3114440879940357
NRP1,0.3110791608724396
CTSA,0.31098894980060166
LENG8,0.3100361671012943
CD47,0.3095848716366875
S100P,0.3091726514688425
TRPM4,0.3086670074278386
ITGB4,0.3086546135605226
TGFBR2,0.30840667793724
TUBB3,0.30839125641865456
MAT2A,0.307923496466565
EIF4A2,0.30791040076446535
ITIH2,0.3077106652946582
MAL,0.30762040226923404
BTG1,0.30644233558574824
MALL,0.30590744862886593
SFTPB,0.305583273786078
LGALS3BP,0.3055427946437437
MSN,0.3038072158222355
TNFSF10,0.3032734671290109
IGJ,0.30311111020458
NCL,0.3029129254528353
AKAP12,0.30275936149768246
CNN3,0.30189026015809584
ATP1A1,0.30159800706091955
C1orf116,0.3011528641520296
BGN,0.30030944500275564
CCNI,0.3000260852263338
SERP1,0.2997757318096467
REG1A,0.29954305056020214
CSTB,0.29886454034787197
TNC,0.2987482313237024
TSPAN1,0.29858297179503673
EPHA2,0.29700334988430627
TAPBP,0.29685692871642866
CRABP2,0.2966119811005057
ADAM9,0.29631161645195353
FOS,0.29620140629561753
